part_no,Part name,slno,section name,total electors,total part votes
130,"PanchayatUnionElementarySchool-Appamasamudram-636108,TerracedBuildingFacingSouthWestWing",1,"1-Appammasamudhiram(R.V)And(P),Ward2,EastStreetNorthSide 1",623,190
130,"PanchayatUnionElementarySchool-Appamasamudram-636108,TerracedBuildingFacingSouthWestWing",2,"2-Appammasamudhiram(R.V)And(P),Ward2,EastStreetSouthSide 186",623,123
130,"PanchayatUnionElementarySchool-Appamasamudram-636108,TerracedBuildingFacingSouthWestWing",3,"3-Appammasamudhiram(R.V)And(P),Ward2,SavadiStreet 307",623,123
130,"PanchayatUnionElementarySchool-Appamasamudram-636108,TerracedBuildingFacingSouthWestWing",4,"4-Appammasamudhiram(R.V)And(P),Ward2,SouthStreet 429",623,143
130,"PanchayatUnionElementarySchool-Appamasamudram-636108,TerracedBuildingFacingSouthWestWing",5,"5-Appammasamudhiram(R.V)And(P),Ward2,NorthStreet 568",623,44
131,"PanchayatUnionElementarySchool-Appamasamudram-636108,TerracedBuildingFacingSouthEastWing",1,"1-Appammasamudhiram(R.V)And(P),Ward2,WestStreet 1",679,236
131,"PanchayatUnionElementarySchool-Appamasamudram-636108,TerracedBuildingFacingSouthEastWing",2,"2-Appammasamudhiram(R.V)And(P),Ward2,Panamarathupatti 232",679,443
132,"PanchayatUnionElementarySchool-RamanathapuramAppamasamudram-636108,TerracedBuildingFacingEastNorthWing",1,"1-Appammasamudhiram(R.V)And(P),Ward1,RamanathapuramNorthStreet 1",510,278
132,"PanchayatUnionElementarySchool-RamanathapuramAppamasamudram-636108,TerracedBuildingFacingEastNorthWing",2,"2-Appammasamudhiram(R.V)And(P),Ward1,RamanathapuramCenterStreet 271",510,85
132,"PanchayatUnionElementarySchool-RamanathapuramAppamasamudram-636108,TerracedBuildingFacingEastNorthWing",3,"3-Appammasamudhiram(R.V)And(P),Ward1,RamanathapuramEastStreet 357",510,56
132,"PanchayatUnionElementarySchool-RamanathapuramAppamasamudram-636108,TerracedBuildingFacingEastNorthWing",4,"412 5 5-Appammasamudhiram(R.V)And(P),Ward1,RamanathapuramSouthStreet 425 445 21",510,13
132,"PanchayatUnionElementarySchool-RamanathapuramAppamasamudram-636108,TerracedBuildingFacingEastNorthWing",5,"5-Appammasamudhiram(R.V)And(P),Ward1,RamanathapuramSouthStreet 425",510,21
132,"PanchayatUnionElementarySchool-RamanathapuramAppamasamudram-636108,TerracedBuildingFacingEastNorthWing",6,"6-Appammasamudhiram(R.V)And(P),Ward1,RamanathapuramWestStreet 446",510,45
132,"PanchayatUnionElementarySchool-RamanathapuramAppamasamudram-636108,TerracedBuildingFacingEastNorthWing",7,491,510,12
133,"PanchayatUnionElementarySchool,Ramanathapuram,Appamasmuthiram-636108,TinsheetWesternSideBuildingFacingEastNorthWing",1,"1-Appammasamudhiram(R.V)And(P),Ward1,RamanathapuramNorthKadu 1",699,241
133,"PanchayatUnionElementarySchool,Ramanathapuram,Appamasmuthiram-636108,TinsheetWesternSideBuildingFacingEastNorthWing",2,"2-Appammasamudhiram(R.V)And(P),Ward1,Paalikkadu 237",699,453
133,"PanchayatUnionElementarySchool,Ramanathapuram,Appamasmuthiram-636108,TinsheetWesternSideBuildingFacingEastNorthWing",3,"3-Appammasamudhiram(R.V)And(P),Ward1,Sengodikadu 681",699,5
134,"PanchayatUnionElementarySchool-UdayampattiAppamasamuthiram-636108,TerracedBuildingFacingNorth",1,"1-Appammasamudhiram(R.V)And(P),Ward3,4,PudhuUdayiampattiEast 1",895,283
134,"PanchayatUnionElementarySchool-UdayampattiAppamasamuthiram-636108,TerracedBuildingFacingNorth",2,"271 3-Appammasamudhiram(R.V)And(P),Ward3,4,PudhuUdayiampattiWestStreet",895,248
134,"PanchayatUnionElementarySchool-UdayampattiAppamasamuthiram-636108,TerracedBuildingFacingNorth",3,"509 4-Appammasamudhiram(R.V)And(P),Ward3,4,PudhuUdayiampattiSouthStreet",895,58
134,"PanchayatUnionElementarySchool-UdayampattiAppamasamuthiram-636108,TerracedBuildingFacingNorth",4,"564 5 5-Appammasamudhiram(R.V)And(P),Ward3,PudhuUdayiampattiSouth 661 899 138",895,96
134,"PanchayatUnionElementarySchool-UdayampattiAppamasamuthiram-636108,TerracedBuildingFacingNorth",5,"5-Appammasamudhiram(R.V)And(P),Ward3,PudhuUdayiampattiSouth 661",895,138
